date,cases
2021-01-14,190
2021-01-15,191
2021-01-16,135
2021-01-17,149
2021-01-18,233
2021-01-19,162
2021-01-20,160
2021-01-21,168
2021-01-22,167
2021-01-23,134
2021-01-24,104
2021-01-25,152
2021-01-26,148
2021-01-27,163
2021-01-28,142
2021-01-29,110
2021-01-30,95
2021-01-31,93
2021-02-01,114
2021-02-02,110
2021-02-03,101
2021-02-04,99
2021-02-05,73
2021-02-06,83
2021-02-07,61
2021-02-08,86
2021-02-09,89
2021-02-10,78
2021-02-11,73
2021-02-12,78
2021-02-13,51
2021-02-14,42
2021-02-15,88
2021-02-16,41
2021-02-17,74
2021-02-18,59
2021-02-19,91
2021-02-20,65
2021-02-21,53
2021-02-22,82
2021-02-23,86
2021-02-24,60
2021-02-25,64
2021-02-26,66
2021-02-27,58
2021-02-28,50
2021-03-01,101
2021-03-02,66
2021-03-03,64
2021-03-04,52
2021-03-05,58
2021-03-06,63
2021-03-07,44
2021-03-08,73
2021-03-09,75
2021-03-10,66
2021-03-11,63
2021-03-12,57
2021-03-13,58
2021-03-14,52
2021-03-15,82
2021-03-16,59
2021-03-17,85
2021-03-18,81
2021-03-19,74
2021-03-20,67
2021-03-21,62
2021-03-22,128
2021-03-23,119
2021-03-24,139
2021-03-25,110
2021-03-26,137
2021-03-27,86
2021-03-28,94
2021-03-29,138
2021-03-30,118
2021-03-31,119
2021-04-01,122
2021-04-02,99
2021-04-03,96
2021-04-04,106
2021-04-05,170
2021-04-06,138
2021-04-07,137
2021-04-08,141
2021-04-09,147
2021-04-10,111
2021-04-11,98
2021-04-12,151
2021-04-13,122
2021-04-14,136
2021-04-15,119
2021-04-16,109
2021-04-17,70
2021-04-18,77
2021-04-19,127
2021-04-20,126
2021-04-21,101
2021-04-22,102
2021-04-23,92
2021-04-24,71
2021-04-25,72
2021-04-26,104
2021-04-27,106
2021-04-28,109
2021-04-29,82
2021-04-30,91
2021-05-01,86
2021-05-02,49
2021-05-03,93
2021-05-04,83
2021-05-05,62
2021-05-06,53
2021-05-07,65
2021-05-08,52
2021-05-09,38
2021-05-10,74
2021-05-11,50
2021-05-12,57
2021-05-13,52
2021-05-14,46
2021-05-15,49
2021-05-16,48
2021-05-17,55
2021-05-18,30
2021-05-19,33
2021-05-20,33
2021-05-21,31
2021-05-22,24
2021-05-23,25
2021-05-24,28
2021-05-25,23
2021-05-26,21
2021-05-27,18
2021-05-28,17
2021-05-29,15
2021-05-30,15
2021-05-31,7
2021-06-01,16
2021-06-02,10
2021-06-03,13
2021-06-04,13
2021-06-05,6
2021-06-06,9
2021-06-07,15
2021-06-08,11
2021-06-09,9
2021-06-10,5
2021-06-11,7
2021-06-12,4
2021-06-13,3
2021-06-14,5
2021-06-15,7
2021-06-16,10
2021-06-17,5
2021-06-18,9
2021-06-19,7
2021-06-20,4
2021-06-21,9
2021-06-22,7
2021-06-23,5
2021-06-24,3
2021-06-25,11
2021-06-26,4
2021-06-27,1
2021-06-28,9
2021-06-29,9
2021-06-30,4
2021-07-01,6
2021-07-02,3
2021-07-03,6
2021-07-04,2
2021-07-05,6
2021-07-06,12
2021-07-07,7
2021-07-08,10
2021-07-09,11
2021-07-10,17
2021-07-11,9
2021-07-12,12
2021-07-13,14
2021-07-14,23
2021-07-15,17
2021-07-16,22
2021-07-17,7
2021-07-18,12
2021-07-19,19
2021-07-20,19
2021-07-21,17
2021-07-22,17
2021-07-23,24
2021-07-24,17
2021-07-25,18
2021-07-26,27
2021-07-27,30
2021-07-28,39
2021-07-29,38
2021-07-30,47
2021-07-31,37
2021-08-01,37
2021-08-02,55
2021-08-03,64
2021-08-04,51
2021-08-05,58
2021-08-06,49
2021-08-07,46
2021-08-08,48
2021-08-09,104
2021-08-10,86
2021-08-11,67
2021-08-12,85
2021-08-13,101
2021-08-14,66
2021-08-15,90
2021-08-16,127
2021-08-17,98
2021-08-18,129
2021-08-19,113
2021-08-20,123
2021-08-21,89
2021-08-22,82
2021-08-23,156
2021-08-24,155
2021-08-25,167
2021-08-26,140
2021-08-27,145
2021-08-28,103
2021-08-29,153
2021-08-30,216
2021-08-31,199
2021-09-01,203
2021-09-02,191
2021-09-03,228
2021-09-04,139
2021-09-05,150
2021-09-06,168
2021-09-07,309
2021-09-08,264
2021-09-09,239
2021-09-10,243
2021-09-11,173
2021-09-12,167
2021-09-13,284
2021-09-14,236
2021-09-15,223
2021-09-16,230
2021-09-17,210
2021-09-18,149
2021-09-19,155
2021-09-20,281
2021-09-21,204
2021-09-22,214
2021-09-23,180
2021-09-24,201
2021-09-25,145
2021-09-26,143
2021-09-27,239
2021-09-28,203
2021-09-29,209
2021-09-30,185
2021-10-01,176
2021-10-02,116
2021-10-03,97
2021-10-04,189
2021-10-05,196
2021-10-06,190
2021-10-07,168
2021-10-08,171
2021-10-09,119
2021-10-10,127
2021-10-11,198
2021-10-12,161
2021-10-13,174
2021-10-14,139
2021-10-15,128
2021-10-16,105
2021-10-17,91
2021-10-18,203
2021-10-19,128
2021-10-20,141
2021-10-21,120
2021-10-22,111
2021-10-23,75
2021-10-24,93
2021-10-25,143
2021-10-26,124
2021-10-27,125
2021-10-28,119
2021-10-29,123
2021-10-30,100
2021-10-31,107
2021-11-01,157
2021-11-02,156
2021-11-03,134
2021-11-04,142
2021-11-05,135
2021-11-06,118
2021-11-07,104
2021-11-08,193
2021-11-09,184
2021-11-10,161
2021-11-11,162
2021-11-12,143
2021-11-13,144
2021-11-14,157
2021-11-15,233
2021-11-16,203
2021-11-17,174
2021-11-18,197
2021-11-19,176
2021-11-20,126
2021-11-21,120
2021-11-22,195
2021-11-23,173
2021-11-24,153
2021-11-25,47
2021-11-26,139
2021-11-27,92
2021-11-28,76
2021-11-29,1
