date,n2_1,n2_2,n2_3,n2_4,n2_5,n2_6,cra_1,cra_2,cra_3,cra_4,site
2021-09-27,13187.93,19631.2468,25323.369,13832.7708,16218.7613,NA,489.7085,605.5593,NA,NA,site_5
2021-09-29,16348.32,15462.69,18420.63,NA,16348.32,NA,NA,NA,NA,NA,site_5
2021-10-04,28761.28,45991.58,50599.18,66847.22,55668.38,82866.66,8326935.301,8839379.701,NA,NA,site_5
2021-10-06,NA,NA,NA,NA,NA,NA,1533.2567,589.6975,NA,NA,site_5
2021-10-11,NA,NA,NA,NA,NA,NA,7638731,6915022,NA,NA,site_5
2021-10-13,3.3852,0.1811,13.3019,18.5799,62.7658,83.5831,155374.077,199934.918,NA,NA,site_5
2021-10-18,2497.956,1201.395,5404.568,6387.412,5235.273,4429.711,4522259.786,4768812.666,NA,NA,site_5
2021-10-20,13386.8828,22453.3987,21406.6909,18257.4886,12363.0382,18698.5235,30775742.05,27675726.05,NA,NA,site_5
2021-10-24,1041.089,3489.094,2306.909,14380.64,7731.346,10885.25,5555110,5666804,NA,NA,site_5
2021-10-27,NA,NA,NA,NA,NA,NA,137881.3,117582.1,NA,NA,site_5
2021-11-01,339.0573,1549.7416,1074.7556,4758.5453,2975.8027,2252.4972,3681445.13,3730628.64,NA,NA,site_5
2021-11-03,145.8808,344.4958,485.0285,931.3482,122.4556,699.3858,763873.094,810882.285,NA,NA,site_5
2021-11-08,17561.9175,14280.0879,19016.3071,4294.9855,2794.916,2664.6256,12519756.4,13202331.5,NA,NA,site_5
2021-11-10,27420.523,44197.8593,42474.0926,46358.9707,39538.9639,48625.7524,249636275,261505365,NA,NA,site_5
