date,n2_1,n2_2,n2_3,n2_4,n2_5,n2_6,cra_1,cra_2,cra_3,cra_4,site
2021-01-14,NA,35768.7125,43237.0948,NA,NA,NA,10029121.23,41233355.65,NA,NA,site_5
2021-01-19,NA,2022.8489,4556.1595,NA,6985.4847,2799.0949,3908003.38,4288453.96,NA,NA,site_5
2021-01-21,13501.3977,17005.9715,22547.3693,23937.5416,27918.6678,23132.9882,1140906505,1517642097,NA,NA,site_5
2021-01-25,24749.4477,30384.5194,31173.6912,10802.0484,4755.0894,18350.4693,28045469.3,28232189.2,NA,NA,site_5
2021-01-27,3617.2307,11468.0555,7873.4283,NA,NA,NA,89574723.95,91375761.98,NA,NA,site_5
2021-02-01,5738.8072,5593.5275,6358.6521,566,NA,NA,NA,NA,NA,NA,site_5
2021-02-03,45795.85,26728.41,44256.62,33379.81,14568.82,37622.81,44923508,45222598,NA,NA,site_5
2021-02-08,21771.3934,19649.106,11082.6081,NA,NA,NA,40938115,37306286.4,NA,NA,site_5
2021-02-10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_5
2021-02-15,21771.39,23917.61,25830.05,28619.94,23113.72,26275.39,54456177.09,53029773.53,NA,NA,site_5
2021-02-17,43136.2536,61765.2819,63369.5007,35742.0509,31711.1604,50742.2266,157449850,192131061,NA,NA,site_5
2021-02-22,85467.032,61239.6183,96330.9753,NA,NA,NA,NA,NA,NA,NA,site_5
2021-02-25,34246.78,34837.23,51617.08,NA,NA,NA,32669699,33326574,NA,NA,site_5
2021-03-01,49457.6712,33379.8091,56222.8621,17733.7003,12706.7129,32814.0582,26950799,28799841,27310857.4,27130230.9,site_5
2021-03-03,5091.6003,3711.1804,5938.4,16847.1968,22146.7564,28865.6045,NA,NA,NA,NA,site_5
2021-03-08,24749.4477,29615.3258,34540.7417,5179.3851,3436.4061,6579.8028,6961060.24,6778724.98,1716351.48,1473410.66,site_5
2021-03-10,44673.7159,76542.930300000007,117355.3,52103.539,39298.2119,NA,3998698.36,3893958.03,NA,NA,site_5
2021-03-15,67332.66,91591.69,97238.84,81262.23,54845.24,68493.55,11793950,11110221,NA,NA,site_5
2021-03-18,226632.9,422956.4,452888.4,178397.3,151656.6,257633.5,96650465,64477982,63627924,NA,site_5
2021-03-22,77465.52,71119.54,68144.24,57436.78,39433.4,47186.22,25839498.2,28733834.4,11653670.9,12788175,site_5
2021-03-04,62561.86,69914.14,84377.75,23612.78,24643.75,60978.08,44820548,40844289,23236706,NA,site_5
2021-03-29,37977.38,47024.46,57239.88,18523.41,5598.19,23132.99,42447806,40521203,19271511,21861039,site_5
2021-03-31,22165.22,49077.63,66759.62,3352.204,2825.475,1331.802,27393878,25129829,2775986,2685394,site_5
2021-04-05,42804.7845,63966.72,82663.2844,NA,NA,NA,5836920.44,5993922.89,1355745,1410811.78,site_5
2021-04-07,372062.8,430248.6,551272.2,112445.7,163783,147817.4,167000000,170000000,91653529,94745461,site_5
2021-04-12,136873.021,108666.364,215303.622,104120.291,78530.9664,96411.2695,42167067.5,41611149.2,28318010.4,29079712.9,site_5
2021-04-14,74605.222,97238.8365,112445.724,NA,NA,45834.0184,91653529,92878005.5,NA,NA,site_5
2021-04-19,84088.4915,115366.257,114384.414,114384.414,99764.4038,184601.91,163256188,157928471,84078550.3,86340108.9,site_5
2021-04-21,297924,395002.6,365756.8,375256.5,189396.5,248974.3,NA,NA,NA,NA,site_5
2021-04-26,128924.1,194315.7,194315.7,100620.8,109599.1,102355.6,55719969,54621715,44762053,50776767,site_5
2021-04-28,242671.4,287910.6,381726.4,244754.5,162389.1,268882.2,114000000,113000000,98593771,105000000,site_5
2021-05-03,0.2792,0.9641,2361.242,NA,NA,NA,69360.42,108192,143917.8,138300.4,site_5
2021-05-05,139232.9,220895.7,251111.4,141633.4,145312,219015.7,31699623,31699623,48794849,45662063,site_5
2021-05-10,72716.5673,88513.2478,124590.9152,68493.5541,24350.2515,36700.9385,2775985.563,2580577.551,2114762.417,2157282.978,site_5
2021-05-12,1,1,1,1,1,1,2414.8962,653.394,603.3829,1952.8975,site_5
2021-08-23,213386.7,220287.1,262426.9,315125.244,300435.082,270913.171,3830975.7,4995548.42,NA,NA,site_5
2021-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_5
2021-08-30,45948.3944,50955.4763,58801.515,NA,NA,NA,NA,NA,NA,NA,site_5
2021-09-01,176293.853,231058.324,176293.853,231058.324,176293.853,218541.361,11326506.6,11259485.9,NA,NA,site_5
2021-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_5
2021-09-14,203630.5,400455.2,361104.9,366897.1,222255.5,330844.4,NA,NA,NA,NA,site_5
2021-09-16,68397.7147,34812.7622,18420.6301,NA,NA,NA,270327250,275762596,NA,NA,site_5
2021-09-19,94868.5005,102725.032,97936.3099,86229.7121,79634.7619,61245.4261,113336086,117159480,NA,NA,site_5
2021-09-22,32665.93,39538.96,34812.76,NA,NA,NA,NA,NA,NA,NA,site_5
