date,n2_1,n2_2,n2_3,n2_4,n2_5,n2_6,cra_1,cra_2,cra_3,cra_4,site
2021-03-10,24749.4477,19481.879,20507.0201,39942.4639,24538.8135,NA,NA,NA,NA,NA,site_4
2021-03-15,126739,87013.05,93970.59,89273.02,NA,NA,4596607,4944674,3066513,2986190,site_4
2021-03-18,74605.22,28400.02,63422.32,92377.89,69674.46,NA,649000000,624000000,771000000,NA,site_4
2021-03-22,172994.4,120817.5,140911.1,13318.22,10305.94,6664.661,6674024.88,6041713.9,2188960.7,2034874.72,site_4
2021-03-24,30254.76,37143.3,31307,47186.22,23411.82,51396.64,9361854,8936943,8996443,NA,site_4
2021-03-29,41721.17,38632.15,40664.98,111488.7,64515.79,32010.02,NA,NA,NA,NA,site_4
2021-03-31,54378.47,71484.1,78530.97,27211.9,40664.98,18365.76,31074815,29079713,46580170,44171923,site_4
2021-04-05,14333.8349,11675.5013,20349.4394,66759.6182,56752.7287,53915.6732,12191818.8,11036740.6,21716456.4,22006584.8,site_4
2021-04-07,234515.1,324507.7,266593.9,170934.1,116356.5,426586.9,4720247,3893958,NA,NA,site_4
2021-04-12,162389.111,92377.8901,54378.4701,97238.8365,56752.7287,39298.2119,16876363.6,19921635.2,27944674,28887387.7,site_4
2021-04-14,266593.863,162389.111,219015.696,381726.361,236528.138,NA,NA,NA,NA,NA,site_4
2021-04-19,21604.0969,26980.3066,20004.5388,144075.312,65628.1164,39975.7569,6490726.12,4720247.31,NA,NA,site_4
2021-04-21,130030.8,81262.23,124590.9,104120.3,93970.59,50784.52,11638462,8407855,15277462,15076048,site_4
2021-04-26,173881.2,103234.2,149086.2,321746,222791.8,109599.1,5646438,5498537,13830043,14202046,site_4
2021-04-28,49923.78,46227.44,65628.12,75245.61,88513.25,45443.94,627890.7,611444,2775986,2794467,site_4
2021-05-03,359557.6,271190.2,170934.1,NA,NA,NA,3998698,3525036,NA,NA,site_4
2021-05-05,77862.62,63966.72,83372.84,124590.9,93170.84,51220.44,10259839,NA,NA,NA,site_4
2021-05-10,65628.1164,38303.3653,50352.3115,81959.7649,48245.8153,23937.5416,1815428.558,1698872.237,NA,NA,site_4
2021-05-12,12081.5692,23531.8267,33407.632,42079.2907,24770.077,28158.3137,3548505.194,3791961.236,3432702.951,2946821.316,site_4
2021-05-17,41721.17,22740.91,26980.31,23331.56,24559.27,15479.96,5179771,5179771,5914901,5721873,site_4
2021-05-19,37977.38,26523.02,29137.65,62347.38,40318.9,21789.54,9991097,10891235,NA,NA,site_4
2021-05-24,0,0,0,0,0,0,29861.9,23360.88,NA,NA,site_4
2021-05-26,12695584,9657622,11167948,11167948,9740520,6919967,1978988,2114762,NA,NA,site_4
2021-06-01,46227.44,46624.25,77199.95,64515.79,40318.9,58226.76,9411884,8079680,NA,NA,site_4
2021-06-07,44293.51,44293.51,44293.51,66759.62,66759.62,66759.62,36439534.7,35485051.9,NA,NA,site_4
2021-06-09,95590.7456,73340.7458,56269.7253,115366.257,84088.4915,67332.6639,6799331.17,6155148.41,NA,NA,site_4
2021-06-14,53001.86,28400.02,34569.53,98073.51,89273.02,92377.89,NA,NA,NA,NA,site_4
2021-06-16,52103.54,31737.59,32841.41,54378.47,34866.27,19665.48,12942110,12687018,NA,NA,site_4
2021-06-21,3986.58,2977.14,3422.3,3632.91,3399.666,1821.977,3266970,2823219,3354845,3377181,site_4
2021-06-23,66223.19,61498.88,61498.88,82010.08,51321.08,58058.69,4643900.273,4039839.886,NA,NA,site_4
2021-07-12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-07-14,0,0,0,NA,NA,NA,6601.166,6136.494,NA,NA,site_4
2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-07-26,800.98,1583.534,1289.642,176.7731,936.2288,173.8936,2488797,2193989,NA,NA,site_4
2021-07-28,862.4197,905.976,951.732,2310.355,1388.564,NA,1342697,1351636,NA,NA,site_4
2021-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-08-09,452.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-08-11,2552.856,3525.882,5047.679,2767.494,3281.731,4256.723,22831032,19599415,NA,NA,site_4
2021-08-16,6089.651,9508.154,9815.623,14845.68,9283.888,6646.639,8055193,8217155,NA,NA,site_4
2021-08-18,34231,27177.67,30380.03,20247.04,19303.19,25705.4,22831032,21365206,NA,NA,site_4
2021-08-23,20408.78,17406.38,17545.43,25705.4,20086.59,15821.34,15231161.7,15955335.5,NA,NA,site_4
2021-08-25,4834.8729,5152.6241,4646.3074,20736.1363,16075.1205,10713.406,NA,NA,NA,NA,site_4
2021-08-30,4873.4946,7670.0768,8045.1151,1746.1866,5111.7904,NA,NA,NA,NA,NA,site_4
2021-09-01,409743.639,325315.604,375407.154,488125.584,NA,NA,11728631.1,NA,NA,NA,site_4
2021-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-09-14,820.0216,969.146,807.076,5993.514,6438.436,2216.937,638574.269,682385.608,NA,NA,site_4
2021-09-16,70609.5252,105107.702,69494.8211,101008.383,68397.7147,NA,NA,NA,NA,NA,site_4
2021-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-09-22,12363.04,12967.54,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-09-27,0.1071,NA,NA,NA,NA,NA,489.7085,605.5593,NA,NA,site_4
2021-09-29,73.5922,420.3099,992.5571,284.6124,69.0539,177.9851,284201.5,258988.6,NA,NA,site_4
2021-10-04,NA,NA,NA,NA,NA,NA,748816.9737,668935.6254,NA,NA,site_4
2021-10-06,28963.81,24900.19,28963.81,NA,NA,NA,2555741,2283103,NA,NA,site_4
2021-10-11,1024.654,1321.754,1760.135,9894.032,11237.25,13493.82,6471.055,3960.214,NA,NA,site_4
2021-10-13,0.0429,10.5611,NA,24.7422,10.8162,0.1071,252204.715,265954.876,NA,NA,site_4
2021-10-18,1442.648,2270.49,564.1834,2381.509,2952.22,2726.431,2268003.35,2407577.584,NA,NA,site_4
2021-10-20,6.9274,22.8499,9.8313,2458.5211,2497.956,1625.5182,3310616.089,3332657.366,NA,NA,site_4
2021-10-24,NA,NA,NA,NA,NA,NA,3945.981,5390.16,NA,NA,site_4
2021-10-27,13280.79,8711.371,8573.846,11600.64,7429.815,6699.733,8055193,6514138,NA,NA,site_4
2021-11-01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-11-03,11975.7718,11327.0166,15571.5749,17826.8563,17406.3811,15204.2941,1921310.61,1883441.13,NA,NA,site_4
2021-11-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_4
2021-11-10,23364.6465,25299.5889,22813.5536,20408.7774,NA,NA,4962509.24,4800562.26,NA,NA,site_4
