date,n2_1,n2_2,n2_3,n2_4,n2_5,n2_6,cra_1,cra_2,cra_3,cra_4,site
2021-01-14,145699.7,35136.8181,292.9753,NA,NA,NA,21579046.4,141693711.6,NA,NA,site_4
2021-01-19,132162.486,145190.993,121335.721,321478,224517.012,240405.762,44923508.1,44923508.1,NA,NA,site_4
2021-01-21,63913.4466,69023.9502,75182.9453,10438.9859,6197.6809,3407.16,34222997.3,34911103.5,NA,NA,site_4
2021-01-25,62830.1842,66704.0188,73908.6773,65015.3856,49457.6712,36985.141,18959806.2,18959806.2,NA,NA,site_4
2021-01-27,25176.1558,29869.5353,34540.7417,39602.527,59689.3182,59689.3182,74386450.47,72438001.21,NA,NA,site_4
2021-02-01,16142.3919,22917.0092,24749.4477,10988.2878,NA,NA,14832202.68,15332567.07,NA,NA,site_4
2021-02-03,10262.06,14321.9,25176.16,25392.26,19151.68,12385.04,71958916,71958916,NA,NA,site_4
2021-02-08,12491.3481,5593.5275,6926.0336,10438.9859,12491.3481,11370.4548,12648568.8,14253272.4,NA,NA,site_4
2021-02-10,171.0839,0.2518,NA,3181.9761,217.3421,0.548,827186.325,821715.542,NA,NA,site_4
2021-02-15,22336.86,27422.62,12706.71,NA,1140.94,2379.526,8898230.142,9017109.068,NA,NA,site_4
2021-02-17,23917.6057,11468.0555,23512.2287,36985.141,33666.332,19817.7683,24887972.2,26419592.4,NA,NA,site_4
2021-02-22,52957.7205,36048.8505,50742.2266,43879.9706,35742.0509,27895.4163,NA,NA,NA,NA,site_4
2021-02-25,22146.76,9749.059,14079.16,11273.68,12175.13,7739.982,12317257,NA,NA,NA,site_4
2021-03-01,23714.051,15599.8376,19316.0753,21586.1043,21402.3923,11566.4941,209440931,229830351,NA,NA,site_4
2021-03-03,26728.4075,24538.8135,26500.931,1121.6018,1275.0229,2547.9221,43457470.2,38821569.2,NA,NA,site_4
2021-03-08,21402.3923,12598.5703,11177.7381,NA,NA,NA,19599415.3,18959806.2,NA,NA,site_4
