date,site,type,counts
2021-03-08,site_3,cra,15230964.45
2021-03-08,site_3,n2,42657.312516666665
2021-03-08,site_4,cra,19279610.75
2021-03-08,site_4,n2,15059.5669
2021-03-08,site_5,cra,4232386.84
2021-03-08,site_5,n2,17350.184866666666
2021-03-10,site_1,cra,96127505.7
2021-03-10,site_1,n2,9747155.1625
2021-03-10,site_2,cra,NA
2021-03-10,site_2,n2,41624.16126666666
2021-03-10,site_3,cra,16827962.8
2021-03-10,site_3,n2,48400.31008333333
2021-03-10,site_4,cra,NA
2021-03-10,site_4,n2,25843.92484
2021-03-10,site_5,cra,3946328.195
2021-03-10,site_5,n2,65994.73942
2021-03-15,site_1,cra,1471183.94
2021-03-15,site_1,n2,7196.218
2021-03-15,site_2,cra,4148595.5
2021-03-15,site_2,n2,43022.198333333334
2021-03-15,site_3,cra,15225873.5
2021-03-15,site_3,n2,31533.01166666667
2021-03-15,site_4,cra,3898496
2021-03-15,site_4,n2,99248.91500000001
2021-03-15,site_5,cra,11452085.5
2021-03-15,site_5,n2,76794.035
2021-03-18,site_1,cra,41491810
2021-03-18,site_1,n2,238810.58333333334
2021-03-18,site_2,cra,57230071.5
2021-03-18,site_2,n2,69785.37833333333
2021-03-18,site_3,cra,53629710.333333336
2021-03-18,site_3,n2,141956.73333333334
2021-03-18,site_4,cra,681333333.3333334
2021-03-18,site_4,n2,65695.982
2021-03-18,site_5,cra,74918790.33333333
2021-03-18,site_5,n2,281694.18333333335
2021-03-22,site_1,cra,12649296.675
2021-03-22,site_1,n2,98219.02166666667
2021-03-22,site_2,cra,3456807.725
2021-03-22,site_2,n2,38419.653333333335
2021-03-22,site_3,cra,38594170
2021-03-22,site_3,n2,51862.595
2021-03-22,site_4,cra,4234893.55
2021-03-22,site_4,n2,77501.97016666667
2021-03-22,site_5,cra,19753794.625
2021-03-22,site_5,n2,60130.95
2021-03-24,site_1,cra,23003095.5
2021-03-24,site_1,n2,139600.82833333334
2021-03-24,site_2,cra,20921306.333333332
2021-03-24,site_2,n2,31534.023833333333
2021-03-24,site_3,cra,10548941.5
2021-03-24,site_3,n2,50741.38166666667
2021-03-24,site_4,cra,9098413.333333334
2021-03-24,site_4,n2,36783.29
2021-03-29,site_1,cra,10645765.5
2021-03-29,site_1,n2,86431.52
2021-03-29,site_2,cra,37104503.25
2021-03-29,site_2,n2,96281.19833333333
2021-03-29,site_3,cra,42145281.75
2021-03-29,site_3,n2,78977.25666666667
2021-03-29,site_4,cra,NA
2021-03-29,site_4,n2,54838.801666666666
2021-03-29,site_5,cra,31025389.75
2021-03-29,site_5,n2,31582.718333333334
