date,site,type,counts
2021-10-24,site_1,cra,NA
2021-10-24,site_1,n2,NA
2021-10-24,site_2,cra,13076.815
2021-10-24,site_2,n2,NA
2021-10-24,site_3,cra,1496384
2021-10-24,site_3,n2,1210.992
2021-10-24,site_4,cra,4668.0705
2021-10-24,site_4,n2,NA
2021-10-24,site_5,cra,5610957
2021-10-24,site_5,n2,6639.054666666667
2021-10-27,site_1,cra,724635.2
2021-10-27,site_1,n2,1196.99236
2021-10-27,site_2,cra,22625.940000000002
2021-10-27,site_2,n2,NA
2021-10-27,site_3,cra,29580364
2021-10-27,site_3,n2,3177.028333333333
2021-10-27,site_4,cra,7284665.5
2021-10-27,site_4,n2,9382.699166666667
2021-10-27,site_5,cra,127731.7
2021-10-27,site_5,n2,NA
2021-11-01,site_1,cra,50640714.900000006
2021-11-01,site_1,n2,8708.886816666667
2021-11-01,site_2,cra,31528175.35
2021-11-01,site_2,n2,8679.78455
2021-11-01,site_3,cra,NA
2021-11-01,site_3,n2,13363.13494
2021-11-01,site_4,cra,NA
2021-11-01,site_4,n2,0
2021-11-01,site_5,cra,3706036.885
2021-11-01,site_5,n2,2158.39995
2021-11-03,site_1,cra,29810249
2021-11-03,site_1,n2,26680.296216666666
2021-11-03,site_2,cra,294021.945
2021-11-03,site_2,n2,665.9083333333333
2021-11-03,site_3,cra,NA
2021-11-03,site_3,n2,0
2021-11-03,site_4,cra,1902375.87
2021-11-03,site_4,n2,14885.3158
2021-11-03,site_5,cra,787377.6895000001
2021-11-03,site_5,n2,454.76578333333333
2021-11-08,site_1,cra,12274606.3
2021-11-08,site_1,n2,62578.60965
2021-11-08,site_2,cra,NA
2021-11-08,site_2,n2,0
2021-11-08,site_3,cra,33674.955050000004
2021-11-08,site_3,n2,23.2595
2021-11-08,site_4,cra,NA
2021-11-08,site_4,n2,0
2021-11-08,site_5,cra,12861043.95
2021-11-08,site_5,n2,10102.139933333334
2021-11-10,site_1,cra,51985688.55
2021-11-10,site_1,n2,66910.42711666666
2021-11-10,site_2,cra,NA
2021-11-10,site_2,n2,6394.58978
2021-11-10,site_3,cra,20346846.5
2021-11-10,site_3,n2,15158.125666666667
2021-11-10,site_4,cra,4881535.75
2021-11-10,site_4,n2,22971.6416
2021-11-10,site_5,cra,255570820
2021-11-10,site_5,n2,41436.02698333333
