date,n2_1,n2_2,n2_3,n2_4,n2_5,n2_6,cra_1,cra_2,cra_3,cra_4,site
2021-08-15,5623.907,3688.932,4465.096,17969.26,10885.25,10798.99,NA,NA,NA,NA,site_2
2021-08-18,15448.17,14728.03,19927.4,7981.359,15204.29,7855.358,5028808,5198454,NA,NA,site_2
2021-08-23,24120.2,26962.3,25910.74,11148.2,12661.68,11059.85,16493588.7,19341022.3,NA,NA,site_2
2021-08-25,56508.1892,68397.7147,75851.1407,NA,NA,NA,NA,NA,NA,NA,site_2
2021-08-30,35057.9,40456.06,42434.21,36772.1,33158.73,30622.71,13144444.5,13177954.8,NA,NA,site_2
2021-09-01,88229.7791,100207.907,83450.1683,75250.0325,79559.9803,72315.1958,11209220.3,11225975.5,NA,NA,site_2
2021-09-07,23179.485,8921.8062,14845.676,1220.6651,931.3482,2325.3373,3960213.7,3730628.6,NA,NA,site_2
2021-09-14,42137.49,54789.55,45627.11,79003.67,75922.44,55227.21,4832523.24,NA,NA,NA,site_2
2021-09-16,22834.997,26987.6385,18716.099,67381.203,48625.7524,59800.8539,20593691.7,21147624.2,NA,NA,site_2
2021-09-19,12774.8242,8379.4865,18567.7768,13943.269,7319.3949,8930.1922,526124735,581187662,NA,NA,site_2
2021-09-22,14859.63,18129.83,13723.15,11797.79,NA,NA,NA,NA,NA,NA,site_2
2021-09-27,7677.2862,5999.1477,10062.1823,10638.4941,4763.0181,6444.4874,158979920,134677847,NA,NA,site_2
2021-09-29,25323.37,34536.88,33455.03,15962.72,15218.59,21426.81,46580170,48472133,NA,NA,site_2
2021-10-04,NA,NA,NA,NA,NA,NA,151304.27,140653.6142,NA,NA,site_2
2021-10-06,1691.488,1599.856,4256.947,3601.922,3047.687,NA,423191.6,470594.2,NA,NA,site_2
2021-10-11,61187.91,65730.13,79559.98,10544.27,4500.764,8438.491,4929689,4643900,NA,NA,site_2
2021-10-13,0.3111,2.0183,0.2374,NA,0.0974,10.6454,183410.701,217947.868,NA,NA,site_2
2021-10-18,12979.73,6759.599,9746.989,8247.201,11892.03,11070.25,131150149,121111854.9,NA,NA,site_2
2021-10-20,17284.6696,24335.7289,15340.1536,25122.6853,36514.9772,30651.4966,207307994.6,221530993,NA,NA,site_2
2021-10-24,NA,NA,NA,NA,NA,NA,11994.62,14159.01,NA,NA,site_2
2021-10-27,NA,NA,NA,NA,NA,NA,21650.64,23601.24,NA,NA,site_2
2021-11-01,10544.2747,13175.5457,9737.8361,6916.3854,5898.8953,5805.7701,30169144.8,32887205.9,NA,NA,site_2
2021-11-03,693.8432,1127.3072,176.5746,NA,NA,NA,305721.998,282321.892,NA,NA,site_2
2021-11-08,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-11-10,11704.2949,6495.9669,6759.599,3464.6968,NA,3548.3913,NA,NA,NA,NA,site_2
