date,n2_1,n2_2,n2_3,n2_4,n2_5,n2_6,cra_1,cra_2,cra_3,cra_4,cra_5,cra_6,site
2021-06-01,141633.4,122479.2,131146.9,240606.1,172401.3,119378.6,4476205,4417192,NA,NA,NA,NA,site_1
2021-06-07,271190.2,0,60769.04,60769.04,60769.04,NA,NA,NA,NA,NA,NA,NA,site_1
2021-06-09,616057.843,590284.975,648474.952,395002.607,275865.86,244754.465,38939580.3,39722520.7,NA,NA,NA,NA,site_1
2021-06-14,39298.21,39975.76,61290.66,63966.72,36700.94,35771.84,NA,NA,NA,NA,NA,NA,site_1
2021-06-16,262075.4,262075.4,359557.6,94777.2,121436.9,114384.4,46580170,42730413,33427881,34100000,NA,NA,site_1
2021-06-21,3354.845,5198.454,5975.758,NA,NA,NA,2918460,3245363,NA,NA,NA,NA,site_1
2021-06-23,206489.1,187085.5,298958.9,NA,NA,NA,102598390.1,104661289,NA,NA,NA,NA,site_1
2021-07-12,275.4218,308.9776,373.2094,358.1962,169.662,241.511,12988792.05,13338166.71,NA,NA,NA,NA,site_1
2021-07-14,2467.229,2549.616,2907.61,1897.085,1557.739,2163.456,1762518,1809927,NA,NA,NA,NA,site_1
2021-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-07-26,264.3423,203.2563,277.6928,349.4797,289.3319,289.3319,3514353,3657097,NA,NA,NA,NA,site_1
2021-07-28,4958.471,6138.644,5748.331,7354.138,6830.222,6291.75,8217155,7488170,NA,NA,NA,NA,site_1
2021-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-08-09,NA,NA,NA,NA,NA,NA,12648569,14159005,NA,NA,NA,NA,site_1
2021-08-11,14034.27,6373.49,6547.328,NA,NA,NA,4374680,4066736,NA,NA,NA,NA,site_1
2021-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-08-30,19303.19,16727.51,27613.61,20901.78,13071.13,17685.58,13856539.9,13898427.9,NA,NA,NA,NA,site_1
2021-09-01,0.9328,8.6561,NA,NA,NA,NA,4632809.29,4691452.45,NA,NA,NA,NA,site_1
2021-09-07,115637.75,111127.75,109373.39,149167.17,127222.74,97068.941,242360665,250536703,NA,NA,NA,NA,site_1
2021-09-14,0.1404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-09-16,186391.088,164111.246,172135.678,248210.668,179121.624,135583.907,6218477.07,5629325.64,NA,NA,NA,NA,site_1
2021-09-19,22453.3987,18112.8009,25099.0937,19303.1868,16203.531,12363.0382,21794786.8,20805574.6,NA,NA,NA,NA,site_1
2021-09-22,95.6887,242.7422,455.1178,0.2374,NA,NA,1016110,1122453,NA,NA,NA,NA,site_1
2021-09-27,14153.617,2234.6465,23739.4178,96299.6851,96299.6851,113812.193,44331249.7,46748182.3,NA,NA,NA,NA,site_1
2021-09-29,0.3481,410.7819,287.1555,NA,NA,NA,607400.1,521425.7,NA,NA,NA,NA,site_1
2021-10-04,46729.29,60278.55,63225.95,35653.71,45265.52,34536.88,6301555,5975758,NA,NA,NA,NA,site_1
2021-10-06,NA,NA,NA,NA,NA,NA,25557.41,40667.36,NA,NA,NA,NA,site_1
2021-10-11,504.7128,169.688,328.4365,1691.488,1127.307,512.8085,1122453,1085823,NA,NA,NA,NA,site_1
2021-10-13,125.4137,13.9524,19.3339,NA,NA,NA,2918.4602,1324.9952,NA,NA,NA,NA,site_1
2021-10-18,13.1965,105.2751,458.7534,22632.76,15325.75,20571.81,91375761.98,78441987.84,NA,NA,NA,NA,site_1
2021-10-20,275258.6461,240435.5847,268766.2268,284159.8203,250193.4116,268766.2268,18586103.89,16061562.2,NA,NA,NA,NA,site_1
2021-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_1
2021-10-27,1431.216,1664.785,555.2767,116.7471,2216.937,NA,743864.5,705405.9,NA,NA,NA,NA,site_1
2021-11-01,7918.1078,6041.3912,9584.1061,12561.3427,9064.9129,7083.4602,49296885.7,51984544.1,NA,NA,NA,NA,site_1
2021-11-03,29663.4708,27177.6743,32120.0502,18998.4497,33423.6088,18698.5235,32669699,26950799,NA,NA,NA,NA,site_1
2021-11-08,59744.6974,62169.3735,76457.0508,86836.9061,52603.2486,37660.3815,13249951.8,11299260.8,NA,NA,NA,NA,site_1
2021-11-10,80836.1306,71173.5645,84116.7804,45948.3944,66784.4442,52603.2486,51640732.6,52330644.5,NA,NA,NA,NA,site_1
2021-01-14,NA,37679.1112,227660.3032,NA,NA,NA,114153680,292492967.9,NA,NA,NA,NA,site_2
2021-01-19,12491.3481,11177.7381,10802.0484,12175.1257,12491.3481,10710.1158,NA,NA,NA,NA,NA,NA,site_2
2021-01-21,12815.7837,20860.584,14200.0084,38599.9766,26500.931,43506.523,119946238,119152947,NA,NA,NA,NA,site_2
2021-01-25,50742.2266,49882.2019,44636.5102,17433.1337,14568.8227,14568.8227,NA,NA,NA,NA,NA,NA,site_2
2021-01-27,11866.9086,24749.4477,17885.9214,9666.0879,13148.6458,11866.9086,87809184.8,86078444.85,NA,NA,NA,NA,site_2
2021-02-01,13722.7386,18194.2946,19481.879,29869.54,30384.52,22336.86,28420152.28,28045469.31,NA,NA,NA,NA,site_2
2021-02-03,5313.908,13959.33,16005.01,11468.06,14321.9,18666.85,143000000,137000000,NA,NA,NA,NA,site_2
2021-02-08,6926.0336,10710.1158,12175.1257,14693.8773,8009.175,3973.8153,33996655.9,32453630.6,NA,NA,NA,NA,site_2
2021-02-10,28376.3643,31711.1604,26500.931,3807.5702,3075.0282,2260.5744,121548.7,129028.878,NA,NA,NA,NA,site_2
2021-02-15,9182.882,4440.819,3939.996,15868.8,16991.81,19987.88,13606351.13,13249951.75,NA,NA,NA,NA,site_2
2021-02-17,15204.9228,33955.3142,22336.8579,24329.9719,16991.8084,19316.0753,21507450.7,NA,NA,NA,NA,NA,site_2
2021-02-22,21402.3923,23312.124,24961.89,42769.1354,39942.4639,33095.7248,NA,NA,NA,NA,NA,NA,site_2
2021-02-25,16142.39,25392.26,29363.28,10174.72,5048.267,9832.742,9764488,14443694,NA,NA,NA,NA,site_2
2021-03-01,8077.9235,11968.7708,13959.3339,15467.0726,12815.7837,17284.7661,22530034,23758367.9,NA,NA,NA,NA,site_2
2021-03-03,16280.9536,16420.7047,17582.7747,22917.0092,11082.6081,15599.8376,11003292.4,10715076.5,NA,NA,NA,NA,site_2
2021-03-08,59181.3224,59689.3182,48205.6347,NA,NA,NA,14832202.7,15030358.5,NA,NA,NA,NA,site_2
2021-03-10,43136.2536,43136.2536,38599.9766,NA,NA,NA,NA,NA,NA,NA,NA,NA,site_2
2021-03-15,26728.41,35742.05,23917.61,64462.06,53412.29,53870.77,4176124,4121067,NA,NA,NA,NA,site_2
2021-03-18,57683.13,62295.46,58178.26,77135.66,86940.58,76479.18,56090939,58369204,NA,NA,NA,NA,site_2
2021-03-22,59434.4,46784.63,47591.25,36203.01,20771.5,19733.13,2931157.25,2533019.55,4084428.87,4278625.23,NA,NA,site_2
2021-03-24,1787.053,2670.54,7136.31,66989.27,57436.78,53184.19,2323671,1994767,58445481,NA,NA,NA,site_2
2021-03-29,105014,79205.05,60769.04,108666.4,115366.3,108666.4,60740007,51114826,17796460,18766720,NA,NA,site_2
2021-03-31,69081.48,75891.5,58226.76,48245.82,37977.38,49498.9,50107341,NA,NA,NA,NA,NA,site_2
2021-04-05,19332.1757,31467.4844,26073.4843,6756.3257,10719.043,15217.5965,6982220.7,6362792.36,4689028.9,5214256.84,NA,NA,site_2
2021-04-07,244754.5,295388.5,234515.1,115366.3,136873,119378.6,1767876,1163846,5684030,7122609,NA,NA,site_2
2021-04-12,86272.5071,30409.8456,53915.6732,32010.0189,44673.7159,35165.5495,10747648.6,8463832.48,NA,NA,NA,NA,site_2
2021-04-14,300481.323,303060.569,278233.814,51660.1033,71484.1018,45834.0184,31074815.4,NA,28696334.4,32769009.4,NA,NA,site_2
2021-04-19,147817.355,128924.123,134553.174,112445.724,111488.737,96411.2695,17330306.8,15379175.5,NA,NA,NA,NA,site_2
2021-04-21,194315.7,204540.6,199362.6,111488.7,176879.1,121436.9,79204274,62373802,34555571,34555571,NA,NA,site_2
2021-04-26,242671.4,297924,195983.7,151656.6,189396.5,191022.3,15379176,12856515,9859377,10259839,NA,NA,site_2
2021-04-28,135708.1,166606.8,213471.2,236528.1,238558.4,236528.1,18766720,12856515,NA,NA,NA,NA,site_2
2021-05-03,724683.9,830882.9,756324.8,206296.4,264325,251111.4,18642603,17678759,10466129,8352248,NA,NA,site_2
